name,passport_number,seatNumber,flightId,created_at
樊璞,EAF3421E,头等舱2A,FID001,2024-10-01 08:00:01
李明,GBA78901B,经济舱23C,FID002,2024-10-02 09:12:15
张华,HCD23456C,公务舱7D,FID003,2024-10-03 10:24:29
王丽,IDE67890D,经济舱15F,FID004,2024-10-04 11:36:43
赵刚,JFG12345E,头等舱3B,FID005,2024-10-05 12:48:57
钱芳,KGH67890F,经济舱31A,FID006,2024-10-06 14:01:11
孙磊,LIJ12345G,公务舱9C,FID007,2024-10-07 15:13:25
周涛,MNO67890H,经济舱42E,FID008,2024-10-08 16:25:39
吴静,PQR12345I,头等舱1B,FID009,2024-10-09 17:37:53
郑强,STU67890J,经济舱28D,FID010,2024-10-10 18:50:07
高远,VWX12345K,公务舱6F,FID011,2024-10-11 20:02:21
林娜,YZA67890L,经济舱35B,FID012,2024-10-12 21:14:35
何勇,BCD12345M,头等舱4C,FID013,2024-10-13 22:26:49
许梅,EFG67890N,经济舱18E,FID014,2024-10-14 23:39:03
郭亮,HIJ12345O,公务舱10A,FID015,2024-10-15 07:51:17
谢莉,KLM67890P,经济舱40C,FID016,2024-10-16 09:03:31
宋兵,NOP12345Q,头等舱2D,FID017,2024-10-17 10:15:45
唐丹,QRS67890R,经济舱25F,FID018,2024-10-18 11:27:59
韩冬,TUV12345S,公务舱8B,FID019,2024-10-19 12:40:13
蔡杰,WXY67890T,经济舱33A,FID020,2024-10-20 13:52:27
杜娟,ZAB12345U,头等舱5A,FID021,2024-10-21 15:04:41
袁野,CDE67890V,经济舱20C,FID022,2024-10-22 16:16:55
程伟,FGH12345W,公务舱11D,FID023,2024-10-23 17:29:09
冯敏,IJK67890X,经济舱12F,FID024,2024-10-24 18:41:23
姜超,LMN12345Y,头等舱3C,FID025,2024-10-25 19:53:37
汪洋,OPQ67890Z,经济舱45B,FID026,2024-10-26 21:05:51
朱琳,RST12345A,公务舱7E,FID027,2024-10-27 22:18:05
潘虹,UVW67890B,经济舱29D,FID028,2024-10-28 23:30:19
邓磊,XYZ12345C,头等舱1F,FID029,2024-10-29 08:42:33
邹丽,ABC67890D,经济舱38A,FID030,2024-10-30 09:54:47
白雪,DEF12345E,公务舱9B,FID031,2024-10-31 11:07:01
康健,GHI67890F,经济舱16C,FID032,2024-11-01 12:19:15
范伟,JKL12345G,头等舱4D,FID033,2024-11-02 13:31:29
卢芳,AAA11111A,经济舱41E,FID034,2024-11-03 14:43:43
石磊,BBB22222B,公务舱10F,FID035,2024-11-04 15:55:57
田园,CCC33333C,经济舱22A,FID036,2024-11-05 17:08:11
方杰,DDD44444D,头等舱2B,FID037,2024-11-06 18:20:25
苗苗,EEE55555E,经济舱30C,FID038,2024-11-07 19:32:39
任涛,FFF66666F,公务舱6D,FID039,2024-11-08 20:44:53
邱丽,GGG77777G,经济舱14F,FID040,2024-11-09 21:57:07
汤姆,HHH88888H,头等舱3E,FID041,2024-11-10 23:09:21
俞静,III99999I,经济舱37B,FID042,2024-11-11 08:21:35
丁勇,JJJ00000J,公务舱11A,FID043,2024-11-12 09:33:49
文丽,KKK10101K,经济舱19C,FID044,2024-11-13 10:46:03
常青,LLL20202L,头等舱5D,FID045,2024-11-14 11:58:17
龚伟,MMM30303M,经济舱43E,FID046,2024-11-15 13:10:31
霍明,NNN40404N,公务舱8F,FID047,2024-11-16 14:22:45
纪红,OOO50505O,经济舱26A,FID048,2024-11-17 15:34:59
童刚,PPP60606P,头等舱1C,FID049,2024-11-18 16:47:13
雷静,QQQ70707Q,经济舱34D,FID050,2024-11-19 17:59:27
